dataid,active_record,building_type,program_579,program_baseline,program_energy_internet_demo,program_lg_appliance,program_verizon,program_ccet_group,program_civita_group,city,state,pv,date_enrolled,date_withdrawn,house_construction_year,total_square_footage,first_floor_square_footage,second_floor_square_footage,third_floor_square_footage,half_floor_square_footage,lower_level_square_footage,audit_2011,audit_2013_2014,survey_2011,survey_2012,survey_2013,survey_2014,number_of_nests,indoor_temp_min_time,indoor_temp_max_time,gas_ert_min_time,gas_ert_max_time,water_ert_min_time,water_ert_max_time,egauge_min_time,egauge_max_time,use,grid,gen,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,car1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,heater1,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,shed1,sprinkler1,utilityroom1,venthood1,waterheater1,waterheater2,winecooler1
2836,,Single-Family Home,,,yes,,,,,Austin,Texas,,2011-02-01,2011-03-19,1994,2796.0,1476.0,1320.0,0.0,,, , , , ,yes, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,,Single-Family Home,,,yes,,,,,Austin,Texas,,2011-02-01,2011-09-01,1949,1590.0,1590.0,0.0,0.0,,, , ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5323,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2011-11-29,2008,1185.0,602.0,583.0,0.0,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8560,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2012-02-01,2009,2001.0,1435.0,566.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3313,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2012-04-30,2007,2001.0,1435.0,566.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5052,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2012-08-30,2008,1185.0,602.0,583.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3936,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2012-08-31,2007,2134.0,1162.0,972.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,,Town Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2012-10-01,2008,1576.0,778.0,798.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2011-02-01,2013-01-07,2007,2122.0,1162.0,960.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:06-05,2013-01-06 17:58:33-06,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,2013-04-02,2007,1422.0,1422.0,0.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-12 13:12:24-05,2013-04-01 18:38:24-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2011-02-01,2013-04-27,2008,2649.0,1639.0,1010.0,0.0,,,yes, ,yes, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8872,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,2013-06-10,2008,1422.0,1422.0,0.0,0.0,,,yes, ,yes,yes, , ,,,,,,,,2012-05-02 01:00:00-05,2013-06-10 00:59:00-05,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,
1464,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,2014-03-06,2007,2345.0,1385.0,960.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-13 09:26:26-05,2014-02-06 23:53:33-06,2012-05-01 13:00:00-05,2014-02-06 23:58:03-06,2012-10-19 19:00:00-05,2014-03-05 17:59:00-06,yes,yes,yes,yes,,,,,,,yes,yes,yes,,,,yes,,,,yes,yes,,yes,,,,,,,,,,,,yes,,yes,,,,,,,,yes,,,,yes,,,,,,,yes,yes,,yes,,yes,,,,,
3824,,Single-Family Home,,yes,yes,,,CCET - Text Message,,Austin,Texas,yes,2011-02-01,2014-04-01,2009,2001.0,1435.0,566.0,0.0,,,yes, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2011-02-01,2014-04-07,2008,3249.0,1532.0,1717.0,0.0,,,yes, , , , , ,,,,2012-04-11 18:59:58-05,2013-05-10 16:29:46-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,2014-04-07,2009,3245.0,1779.0,1466.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:52-05,2013-05-10 16:26:10-05,,,2013-04-16 00:00:00-05,2014-04-07 00:00:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,,yes,,,,yes,yes,,yes,yes,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
5839,,Single-Family Home,,yes,yes,,,,,Austin,Texas,yes,2011-02-01,2014-04-30,2009,2068.0,1036.0,1032.0,0.0,,,yes, ,yes, ,yes, ,,,,2012-04-11 18:59:53-05,2013-05-10 16:29:18-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,,2011-02-01,2014-05-01,2007,3249.0,1532.0,1717.0,0.0,,,yes, ,yes,yes, , ,,,,2012-04-11 18:59:03-05,2013-05-10 16:22:47-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8597,,Single-Family Home,,yes,yes,,,CCET - UT Text,,Austin,Texas,yes,2011-02-01,2014-10-31,2008,2122.0,1162.0,960.0,0.0,,,yes, ,yes, , , ,,,,2012-04-11 18:59:53-05,2013-05-10 16:28:22-05,,,2012-10-26 19:00:00-05,2014-10-21 18:59:00-05,yes,yes,yes,yes,,,,,,,yes,,,,,,yes,,yes,,yes,yes,yes,,,yes,,,,,,,,,,yes,yes,yes,yes,,,,,,,,,,,yes,,,,,,,yes,yes,,,,,,,,,
7982,,Single-Family Home,,yes,yes,yes,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,2014-11-15,2007,1720.0,1720.0,0.0,0.0,,,yes,yes,yes, ,yes, ,,2014-02-21 11:04:54-06,2014-11-14 14:59:01-06,2012-04-11 18:59:57-05,2014-02-06 23:18:46-06,2012-05-01 13:00:00-05,2014-11-14 23:56:22.783059-06,2013-02-22 18:00:00-06,2014-11-13 17:59:00-06,yes,yes,yes,yes,,,,,,,yes,,,,,yes,yes,,yes,,yes,yes,yes,yes,,yes,,,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,yes,,yes,,,
7057,,Single-Family Home,,yes,yes,,,,,Austin,Texas,,2011-02-01,2015-02-13,2009,1720.0,1720.0,0.0,0.0,,,yes, ,yes,yes,yes,yes,,,,2012-04-11 18:59:45-05,2013-05-10 16:29:58-05,,,2014-06-06 19:00:00-05,2015-01-09 17:59:00-06,yes,yes,,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,yes,,,yes,,yes,,,,,,,,yes,yes,,,,,,,,,yes,,,,yes,,,,,,,,yes,,yes,,yes,,yes,,,
3192,,Single-Family Home,,yes,yes,,,CCET - Pricing Trial,,Austin,Texas,yes,2011-02-01,2016-07-29,2008,2075.0,2075.0,0.0,0.0,,,yes,yes,yes, , , ,,,,2012-04-11 18:59:39-05,2013-05-10 16:29:25-05,2016-01-17 00:00:00-06,2016-07-26 06:16:00-05,2012-05-22 01:00:00-05,2016-07-17 05:59:00-05,yes,yes,yes,yes,,,,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,yes,,,,,,,,,,yes,yes,,,,,,,yes,,yes,,,,yes,,,,,,,,yes,,,,,,yes,,,
1790,,Single-Family Home,,yes,yes,,,CCET - Control,,Austin,Texas,yes,2011-02-01,2017-02-21,2008,3023.0,1473.0,1550.0,0.0,,,yes, ,yes,yes,yes, ,,,,2012-04-11 18:59:20-05,2013-05-10 16:29:31-05,,,2014-05-02 00:00:00-05,2017-02-28 17:59:00-06,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
